id,question,link_1,link_2,predict_answer
4644,In what county is Wiscoal located?,"https://en.wikipedia.org/wiki/Wiscoal,_Kentucky","https://en.wikipedia.org/wiki/Template:Knott_County,_Kentucky",Knott County
4645,"Who wrote the song ""Little Altar Boy""?",https://en.wikipedia.org/wiki/Little_Altar_Boy,https://en.wikipedia.org/wiki/Vic_Dana,Howlett Peter Smith
4646,Where is the 433 Airlift Wing located?,https://en.wikipedia.org/wiki/433rd_Airlift_Wing,https://en.wikipedia.org/wiki/433rd_Security_Forces_Squadron,"Kelly Field Annex, Joint Base San Antonio, Texas"
4647,How many railway stations are there on the Kolkata suburban railway system?,https://en.wikipedia.org/wiki/Urban_rail_transit_in_India,https://en.wikipedia.org/wiki/Commuter_rail,7.1
4648,What was the nickname of Charles Augustus Freiberg?,https://en.wikipedia.org/wiki/Sigmund_Freud,https://en.wikipedia.org/wiki/Robert_Koch,Moravian
4649,Who was the director of the film?,https://en.wikipedia.org/wiki/Film_director,https://en.wikipedia.org/wiki/Harry_Potter_(film_series),Columbus
4650,What was the name of the police station based on a play by Walter C. Hackett?,https://en.wikipedia.org/wiki/Regeneration_(1915_film),https://en.wikipedia.org/wiki/Buddy_Hackett,Regeneration
4651,What district is Stebbing Green in?,https://en.wikipedia.org/wiki/Stebbing_Green,https://en.wikipedia.org/wiki/Stebbing,Uttlesford
4652,What is the purpose of an acoustic board?,https://en.wikipedia.org/wiki/Acoustic_board,https://en.wikipedia.org/wiki/Acoustic_foam,provide sound insulation
4653,How does the population of HRWR represent the district of Haryana?,https://en.wikipedia.org/wiki/Acoustic_board,https://en.wikipedia.org/wiki/Acoustic_foam,empty
4654,Which joints are found in the wrist?,https://en.wikipedia.org/wiki/Wrist,https://en.wikipedia.org/wiki/Joints_of_hand,the series of joints between these bones
4655,What was August Engelhardt's nationality?,https://en.wikipedia.org/wiki/August_Engelhardt,https://en.wikipedia.org/wiki/Engelhardt,German
4656,What Slovenian weekly has been published online since the 1980s?,https://en.wikipedia.org/wiki/Mladina,https://en.wikipedia.org/wiki/Wikipedia:List_of_online_newspaper_archives,Mladina
4657,How many colonies did this list contain?,https://en.wikipedia.org/wiki/List_of_countries_that_have_gained_independence_from_the_United_Kingdom,https://en.wikipedia.org/wiki/Decolonization,65
4658,In what country was the entebbe bat virus first isolated?,https://en.wikipedia.org/wiki/Entebbe_bat_virus,https://en.wikipedia.org/wiki/Bat_virome,Uganda
4659,When was 'Tadhana' released?,https://en.wikipedia.org/wiki/That_Thing_Called_Tadhana,https://en.wikipedia.org/wiki/UDD_(band),2014
4660,When was the ISO/IEC 8859-5 standardized?,https://en.wikipedia.org/wiki/ISO/IEC_8859,https://en.wikipedia.org/wiki/ISO/IEC_8859-1,December 1999
4661,"Who wrote the music for ""Topi Raja Sweety Roja""?",https://en.wikipedia.org/wiki/Topi_Raja_Sweety_Roja,https://en.wikipedia.org/wiki/Rakendu_Mouli,Hero Rajendra Prasad
4662,How many animators were in the top 10?,https://en.wikipedia.org/wiki/List_of_highest-grossing_animated_films,https://en.wikipedia.org/wiki/Spirited_Away,British Film Institute
4663,What's the capital of Ireland?,https://en.wikipedia.org/wiki/Republic_of_Ireland,https://en.wikipedia.org/wiki/Dublin,Dublin
4664,What position did William Anderson have at the Jacobite laird?,https://en.wikipedia.org/wiki/William_Anderson_(horticulturist),https://en.wikipedia.org/wiki/Clan_Buchanan,forester and gardener
4665,What does O'Brien claim her husband was involved in writing?,https://en.wikipedia.org/wiki/Conan_O%27Brien,https://en.wikipedia.org/wiki/Anne_Rice,he was happy as a writer
4666,What is the name of the Mandarin-language TV channel in Macau?,https://en.wikipedia.org/wiki/List_of_Chinese-language_television_channels,https://en.wikipedia.org/wiki/TDM_(Macau),Macau Teledifusão de Macau
4667,What is the highest mountain in the Alps?,https://en.wikipedia.org/wiki/Alps,https://en.wikipedia.org/wiki/List_of_prominent_mountains_of_the_Alps_above_3000_m,empty
4668,What position does Ernest Grant hold with the American Nurses Association?,https://en.wikipedia.org/wiki/American_Nurses_Association,https://en.wikipedia.org/wiki/Edith_Cavell,president
4669,What is the name of the ultramarathon KwaZulu-Natal province?,https://en.wikipedia.org/wiki/Comrades_Marathon,https://en.wikipedia.org/wiki/Bill_Payn,The Comrades Marathon
4670,How many miles away from Perth is Royal National Park?,https://en.wikipedia.org/wiki/Sydney,https://en.wikipedia.org/wiki/John_Forrest_National_Park,15
4671,What was the profession of Professor Ransom Asa Moore?,https://en.wikipedia.org/wiki/Ransom_Asa_Moore,https://en.wikipedia.org/wiki/List_of_people_with_surname_Moore,agronomist
4672,What is the name of the goddess that Freyja belongs to?,https://en.wikipedia.org/wiki/Freyja,https://en.wikipedia.org/wiki/Frigg_and_Freyja_common_origin_hypothesis,group of gods
4673,How many consecutive wins does Pasta Zara have?,https://en.wikipedia.org/wiki/Nicole_Cooke,https://en.wikipedia.org/wiki/Mara_Abbott,empty
4674,Who composed the soundtrack for The O.C.?,https://en.wikipedia.org/wiki/Music_on_The_O.C.,https://en.wikipedia.org/wiki/The_O.C.,Christopher Tyng
4675,What does water memory believe to be?,https://en.wikipedia.org/wiki/Water_memory,https://en.wikipedia.org/wiki/Talk%3AWater_memory%2FArchive1,unnecessary
4676,What kind of plants are in the Cattleya?,https://en.wikipedia.org/wiki/Orchidaceae,https://en.wikipedia.org/wiki/Cattleya,cultivated
4677,Which famous British soap opera has a prominent fictional character in its show?,https://en.wikipedia.org/wiki/Historical_fiction,https://en.wikipedia.org/wiki/Soap_opera,Imprimateur Secretum Veritas Mysterium
4678,What percentage of the population is farmers?,https://en.wikipedia.org/wiki/Agriculture_in_the_United_States,https://en.wikipedia.org/wiki/Agriculture_in_the_United_Kingdom,less than 2
4679,What was the population of Sunshine Bay in 2013,"https://en.wikipedia.org/wiki/Fernhill,_Queenstown",https://en.wikipedia.org/wiki/Florida,"2,358"
4680,When was the Panola post office established?,"https://en.wikipedia.org/wiki/Panola,_Oklahoma","https://en.wikipedia.org/wiki/Panola,_Sumter_County,_Alabama","March 18, 1911"
4681,"What is the term used to describe holding gold, silver, and platinum in a single investment?",https://en.wikipedia.org/wiki/Gold_IRA,https://en.wikipedia.org/wiki/Precious_metal,empty
4682,How many rubbers did Heryanto collect in his first Davis Cup appearance?,https://en.wikipedia.org/wiki/Gold_IRA,https://en.wikipedia.org/wiki/Precious_metal,12
4683,What was the name of the successful album that eventually reached number one on the Billboard charts?,https://en.wikipedia.org/wiki/Maroon_5,https://en.wikipedia.org/wiki/Number_Ones_(Michael_Jackson_album),V
4684,What was the name of the 1998 album Queen released?,https://en.wikipedia.org/wiki/Queens_of_the_Stone_Age_(album),https://en.wikipedia.org/wiki/Queen_discography,Queens of the Stone Age
4685,What is the name of the highest settlement in St Martin's?,https://en.wikipedia.org/wiki/Saint_Martin_(island),"https://en.wikipedia.org/wiki/St_Martin%27s,_Isles_of_Scilly",empty
4686,Who did Argentina defeat to win the 1979 FIFA World Youth Championship?,https://en.wikipedia.org/wiki/Argentina_national_under-20_football_team,https://en.wikipedia.org/wiki/1979_FIFA_World_Youth_Championship,Tokyo
4687,What type of leaves does the hawthorn have?,https://en.wikipedia.org/wiki/Crataegus,https://en.wikipedia.org/wiki/Crataegus_monogyna,deeply lobed
4688,How many people lived in Boston in 2000?,https://en.wikipedia.org/wiki/Boston,https://en.wikipedia.org/wiki/History_of_Boston,empty
4689,What was the name of Débora Susan Duke?,https://en.wikipedia.org/wiki/D%C3%A9bora_Duarte,https://en.wikipedia.org/wiki/Duarte_(surname),Débora Duarte
4690,"In ancient India, what were the knots and ties called?",https://en.wikipedia.org/wiki/Kautuka,https://en.wikipedia.org/wiki/Knot,Kautuka
4691,What is another area that has made increasing use of GIS techniques?,https://en.wikipedia.org/wiki/GIS_and_public_health,https://en.wikipedia.org/wiki/Geographic_information_system,Public health
4692,What district is Sylvia Rodriguez Garcia representing?,https://en.wikipedia.org/wiki/Sylvia_Garcia,https://en.wikipedia.org/wiki/Sylvia_Rodr%C3%ADguez_Aponte,29th
4693,"What was the name of the artist that wrote the song ""Cry for Help""?",https://en.wikipedia.org/wiki/Cry_for_Help,https://en.wikipedia.org/wiki/Climie_Fisher,empty
4694,How is the crawshay different from other zebras?,https://en.wikipedia.org/wiki/Crawshay%27s_zebra,https://en.wikipedia.org/wiki/Plains_zebra,lower incisors lack an infundibulum
4695,What does the capo peloro lighthouse stand for?,https://en.wikipedia.org/wiki/Lighthouse_of_Genoa,https://en.wikipedia.org/wiki/Capo_Murro_di_Porco_Lighthouse,Lighthouse Cape
4696,"Who was the oppressive leader of Korea during the ""Regency""?",https://en.wikipedia.org/wiki/Joseon,https://en.wikipedia.org/wiki/History_of_the_Joseon_dynasty,Korean government
4697,What is the political structure of Pakistan?,https://en.wikipedia.org/wiki/Politics_of_Pakistan,https://en.wikipedia.org/wiki/Government_of_Pakistan,civilian government
4698,Who designed the palace?,https://en.wikipedia.org/wiki/Buckingham_Palace,https://en.wikipedia.org/wiki/Palace_of_Westminster,John Nash
4699,What was the name of the captured French ship?,https://en.wikipedia.org/wiki/List_of_ships_captured_in_the_18th_century,https://en.wikipedia.org/wiki/List_of_ships_captured_in_the_19th_century,Bourbon
4700,What was the name of the ship that was a twin-screw cargo ship that was built in 1924?,https://en.wikipedia.org/wiki/HMS_Tonbridge_(T119),https://en.wikipedia.org/wiki/AHS_Centaur,Tonbridge
4701,How many members are in the Three Divas?,https://en.wikipedia.org/wiki/Young_Divas,https://en.wikipedia.org/wiki/Total_Divas,Kate DeAraugo
4702,What is the difference between a plurinational state and a unified state?,https://en.wikipedia.org/wiki/Multinational_state,https://en.wikipedia.org/wiki/List_of_sovereign_states,recognizes the national distinctiveness of various indigenous peoples
4703,"Who is an award-winning theater producer, general manager, television and film producer?",https://en.wikipedia.org/wiki/Baz_Luhrmann,https://en.wikipedia.org/wiki/Mike_Nichols,Bazmark Baz Luhrmann
4704,When did Preston's College open?,https://en.wikipedia.org/wiki/Preston%27s_College,https://en.wikipedia.org/wiki/Preston_School_of_Industry,September 1974
4705,When was the list of National Register properties created?,https://en.wikipedia.org/wiki/National_Register_of_Historic_Places,https://en.wikipedia.org/wiki/History_of_the_National_Register_of_Historic_Places,1966
4706,How many students are enrolled in primary and secondary schools in the Cape Breton region?,https://en.wikipedia.org/wiki/List_of_schools_in_Nova_Scotia,https://en.wikipedia.org/wiki/Cape_Breton_Island,"Nearly all primary and secondary schools in the province of Nova Scotia are public schools maintained by the provincial government's Department of Education. While providing guidelines, the government divides administration of public education over seven"
4707,Where did Clemens Berger grow up?,https://en.wikipedia.org/wiki/Clemens_Berger,https://en.wikipedia.org/wiki/Damion_Searls,Oberwart
4708,What was the name of the facility that used to be a USAF radar site?,https://en.wikipedia.org/wiki/Ground_Equipment_Facility_J-33,https://en.wikipedia.org/wiki/List_of_Nike_missile_sites,Ground Equipment Facility J-33
4709,Which film received Nathan the award for best journalism?,https://en.wikipedia.org/wiki/Mirror_Mirror_(film),https://en.wikipedia.org/wiki/The_Birdcage,Mirror Mirror
4710,Where is the centre of La Tourneulle located?,https://en.wikipedia.org/wiki/Mirror_Mirror_(film),https://en.wikipedia.org/wiki/The_Birdcage,empty
4711,What is the only FM station operating in and around Los Angeles?,https://en.wikipedia.org/wiki/KFI,https://en.wikipedia.org/wiki/Radio_Disney,KFI
4712,Who did the 1988 WSC women's tournament win?,https://en.wikipedia.org/wiki/WCW_Women%27s_Championship,https://en.wikipedia.org/wiki/Superbike_World_Championship,Frenchman Adrien Morillas
4713,When was the list of known properties added to the National Register of Historic Places?,https://en.wikipedia.org/wiki/National_Register_of_Historic_Places,https://en.wikipedia.org/wiki/National_Register_of_Historic_Places_property_types,1966
4714,Who was a notable Russian diplomat and a publicist?,https://en.wikipedia.org/wiki/Poisoning_of_Sergei_and_Yulia_Skripal,https://en.wikipedia.org/wiki/Diplomatic_immunity,Sergei Skripal
4715,What is the name of the archaeological site in the Urubamba Valley?,https://en.wikipedia.org/wiki/Sacred_Valley,https://en.wikipedia.org/wiki/Ollantaytambo,Machu Picchu
4716,What subtribe of cacti is it in?,https://en.wikipedia.org/wiki/Cactinae,https://en.wikipedia.org/wiki/Mammillaria_supertexta,Cactinae
4717,What was the name of the 1998 movie that was nominated for the best movie award?,https://en.wikipedia.org/wiki/70th_Academy_Awards,https://en.wikipedia.org/wiki/List_of_accolades_received_by_Titanic,"Oscar's Channel at YouTube (run by the Academy of Motion Picture Arts and Sciences)Analysis1997 Academy Awards Winners and History Filmsite Academy Awards, USA 1998 Internet Movie DatabaseOther resourcesThe 70th Annual Academy Awards"
4718,What is name of the Crown Prince of the Emirate of Abu Dhabi?,https://en.wikipedia.org/wiki/Mohamed_bin_Zayed_Al_Nahyan,https://en.wikipedia.org/wiki/Khalifa_bin_Zayed_Al_Nahyan,Sheikh Mohamed bin Zayed bin Sultan Al Nahyan
4719,What was the record of the Cubs winning pennants in 1882?,https://en.wikipedia.org/wiki/Chicago_Cubs,https://en.wikipedia.org/wiki/St._Louis_Cardinals,empty
4720,How many times was Thomas William McDonald defeated in Parliament?,https://en.wikipedia.org/wiki/Thomas_William_McDonald,https://en.wikipedia.org/wiki/Alexander_Donald_McLeod,1928
4721,How many people were at Beckom in 2006?,https://en.wikipedia.org/wiki/Beckom,https://en.wikipedia.org/wiki/Odell_Beckham_Jr.,170
4722,When was the University of The Bahamas chartered?,https://en.wikipedia.org/wiki/University_of_the_Bahamas,https://en.wikipedia.org/wiki/List_of_Delta_Sigma_Theta_chapters,"November 10, 2016"
4723,What was the name of the first Ghanaian football manager?,https://en.wikipedia.org/wiki/Ghana_national_football_team,https://en.wikipedia.org/wiki/Chris_Hughton,Christopher William Gerard Hughton
4724,Who wrote 'Citizen Jane'?,https://en.wikipedia.org/wiki/Citizen_Jane_(book),https://en.wikipedia.org/wiki/Citizen_Jane,James Dalessandro
4725,What is the capital of Haenam-gun?,https://en.wikipedia.org/wiki/Haenam_County,https://en.wikipedia.org/wiki/File:Map_Haenam-gun.png,Haenam-eup
4726,What was the name of the controversial reply to the Batavian Calvinist Lawrence?,https://en.wikipedia.org/wiki/Maximilian_van_der_Sandt,https://en.wikipedia.org/wiki/Hugo_Grotius,Castigatio conscientiae Jesuiticae cauteriata
4727,What is a particle used to mark noble families in a certain culture?,https://en.wikipedia.org/wiki/Nobiliary_particle,https://en.wikipedia.org/wiki/German_nobility,von (descending from) or zu (resident at)
4728,How many points did Spiczko score in the 2016 Kabaddi World Cup?,https://en.wikipedia.org/wiki/Michal_Spiczko,-,48
4729,What was the name of the third Pot Black tournament?,https://en.wikipedia.org/wiki/1993_Pot_Black,https://en.wikipedia.org/wiki/1971_Pot_Black,1993 Pot Black
4730,Who was the winner of the 1971 Paris-Nice race?,https://en.wikipedia.org/wiki/1971_Paris%E2%80%93Nice,https://en.wikipedia.org/wiki/Eddy_Merckx,Eddy Merckx
4731,What subjects did Nina Berkhout study at the Hebrew school?,https://en.wikipedia.org/wiki/Antisemitism,https://en.wikipedia.org/wiki/Antisemitism_in_Europe,empty
4732,"What is the Dutch toponymic surname meaning ""from/of Hall""?",https://en.wikipedia.org/wiki/Van_Hall,-,Van Hall
4733,What is the name of the Utah state highway?,https://en.wikipedia.org/wiki/List_of_state_highways_in_Utah,https://en.wikipedia.org/wiki/Utah_State_Route_128,State Route 128
4734,What language is the southeasternmost language in the Austroasiatic family?,https://en.wikipedia.org/wiki/Aslian_languages,https://en.wikipedia.org/wiki/Sino-Tibetan_languages,empty
4735,When was the Madonna House Apostolate founded?,https://en.wikipedia.org/wiki/Madonna_House_Apostolate,https://en.wikipedia.org/wiki/Catherine_Doherty,1947
4736,What was the process of decreasing or eliminating a remnant magnetic field?,https://en.wikipedia.org/wiki/Degaussing,https://en.wikipedia.org/wiki/Remanence,Degaussing
4737,What is the diameter of the Brewster crater?,https://en.wikipedia.org/wiki/Brewster_(crater),https://en.wikipedia.org/wiki/R%C3%B6mer_(crater),9.8 km
4738,What is the earliest known example of a named person in writing?,https://en.wikipedia.org/wiki/Kushim_(Uruk_Period),https://en.wikipedia.org/wiki/History_of_writing,Kushim
4739,What company produced the automobile Alvis Three Litre TA 21?,https://en.wikipedia.org/wiki/Alvis_TC_21,https://en.wikipedia.org/wiki/Alvis_Car_and_Engineering_Company,Alvis
4740,When was Owen Murphy Panner born?,https://en.wikipedia.org/wiki/Owen_M._Panner,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_United_States_courts_and_judges/United_States_federal_judges,"July 28, 1924"
4741,What is the dragonfly family from?,https://en.wikipedia.org/wiki/Dragonfly,https://en.wikipedia.org/wiki/Anax_(dragonfly),Odonata
4742,Who was elected President of the Region of Verona?,"https://en.wikipedia.org/wiki/Verona,_New_Jersey",https://en.wikipedia.org/wiki/Politics_of_Veneto,Luca Zaia
4743,What is the name of the company that serves as the largest provider of human resources?,https://en.wikipedia.org/wiki/Mercer_(consulting_firm),https://en.wikipedia.org/wiki/The_Adecco_Group,The Adecco Group
4744,When was he elected to the Soviet Union's highest legislative office?,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_the_Soviet_Union,https://en.wikipedia.org/wiki/Government_of_the_Soviet_Union,empty
4745,What is the practice of disguising an e-mail address to prevent it from being automatically collected?,https://en.wikipedia.org/wiki/Address_munging,https://en.wikipedia.org/wiki/Anti-spam_techniques,Address munging
4746,How many times was Zaragoza in the top division?,https://en.wikipedia.org/wiki/Real_Zaragoza,https://en.wikipedia.org/wiki/David_Villa,six
4747,What was the last legislative session of the New York State Assembly?,https://en.wikipedia.org/wiki/New_York_State_Legislature,https://en.wikipedia.org/wiki/180th_New_York_State_Legislature,empty
4748,What was the name of the song that was played during the opening bits of the movie?,https://en.wikipedia.org/wiki/James_Bond_music,https://en.wikipedia.org/wiki/Theme_music,"Kingston Calypso . Due to this, Dr. No is the only film to have more than one opening theme. The James Bond Theme"
4749,What is the name of the species that was found in 2000 in Myanmar?,https://en.wikipedia.org/wiki/Mekong,https://en.wikipedia.org/wiki/Burmese_pythons_in_Florida,Miami
4750,What was the Valby Maskinfabrik built between 1953 and 1957?,https://en.wikipedia.org/wiki/Mekong,https://en.wikipedia.org/wiki/Burmese_pythons_in_Florida,largely through fluvial and tidal processes
4751,How many people left the area for the city of Nepal?,https://en.wikipedia.org/wiki/April_2015_Nepal_earthquake,https://en.wikipedia.org/wiki/Nepal,many people in rural areas were working outdoors
4752,What is the name of the stadium in North Rhine-Westphalia?,https://en.wikipedia.org/wiki/List_of_football_stadiums_in_Germany,https://en.wikipedia.org/wiki/Westfalenstadion,Westfalenstadion
4753,When was the Repent Replenish Repeat released?,https://en.wikipedia.org/wiki/Repent_Replenish_Repeat,https://en.wikipedia.org/wiki/Dan_le_Sac_Vs_Scroobius_Pip,7 October 2013
4754,What can be used to reconstruct a sparse vector from a smaller number of measurements?,https://en.wikipedia.org/wiki/Compressed_sensing_in_speech_signals,https://en.wikipedia.org/wiki/Compressed_sensing,compressed sensing
4755,Who is the Hindu goddess of childbirth?,https://en.wikipedia.org/wiki/Shashthi,https://en.wikipedia.org/wiki/List_of_fertility_deities,Shashthi
4756,Who was the first president of the Accademia dei Nobili Ecclesiastici?,https://en.wikipedia.org/wiki/Francesco_Satolli,https://en.wikipedia.org/wiki/Pontifical_Ecclesiastical_Academy,Satolli
4757,"What legislation was signed into law on December 20, 2019?",https://en.wikipedia.org/wiki/SECURE_Act_of_2019,https://en.wikipedia.org/wiki/National_Defense_Authorization_Act_for_Fiscal_Year_2020,The Setting Every Community Up for Retirement Enhancement (SECURE) Act of 2019
4758,What is the name of the facility that hosts FM radio broadcasts?,https://en.wikipedia.org/wiki/WABC_(AM),https://en.wikipedia.org/wiki/NPR,NPR
4759,What is the tenth most widely circulated newspaper in North Dakota?,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_States,"https://en.wikipedia.org/wiki/Grand_Forks,_North_Dakota",Hartford Courant
4760,What does the the Philippines national dragon boat team represent?,https://en.wikipedia.org/wiki/Philippines_national_dragon_boat_team,https://en.wikipedia.org/wiki/Philippine_Dragon_Boat_Federation,the country in international dragon boat
4761,What type of geometry can a Hilbert manifold be modeled on?,https://en.wikipedia.org/wiki/Hilbert_manifold,https://en.wikipedia.org/wiki/Banach_manifold,differentiable
4762,What is the name of the extinct group that included Rautiania?,https://en.wikipedia.org/wiki/Sauropsida,https://en.wikipedia.org/wiki/Diapsid,Theropsida
4763,What is a quarter stick based on?,https://en.wikipedia.org/wiki/Quarter_stick,https://en.wikipedia.org/wiki/Quarterstick_Records,dynamite
4764,Who built the Leipzig Vienna State Opera House?,https://en.wikipedia.org/wiki/Bruno_Walter,https://en.wikipedia.org/wiki/Opera_house,empty
4765,In what county is Farrington located?,"https://en.wikipedia.org/wiki/Farrington,_North_Carolina","https://en.wikipedia.org/wiki/Farrington_Township,_Jefferson_County,_Illinois",Chatham County
4766,What is Suninen's job?,https://en.wikipedia.org/wiki/Teemu_Suninen,https://en.wikipedia.org/wiki/File:Teemu_Suninen_Rally_Finland_2017_Saalahti.JPG,rally driver
4767,What was the name of the coaching staff temporarily hired by the Titans?,https://en.wikipedia.org/wiki/Romeo_Crennel,https://en.wikipedia.org/wiki/List_of_Tennessee_Titans_seasons,Houston Oilers
4768,What is the name of the governing body of North Dakota?,https://en.wikipedia.org/wiki/Governing_boards_of_colleges_and_universities_in_the_United_States,https://en.wikipedia.org/wiki/North_Dakota,board
4769,Who won the 1997 Grote Prijs Jef Scherens?,https://en.wikipedia.org/wiki/1997_Grote_Prijs_Jef_Scherens,https://en.wikipedia.org/wiki/Category:Grote_Prijs_Jef_Scherens,Stéphane Hennebert
4770,What is the name of the building that was built in 1915?,https://en.wikipedia.org/wiki/Panama%E2%80%93California_Exposition,https://en.wikipedia.org/wiki/Category:Buildings_and_structures_completed_in_1915,The Exposition brought Spanish Colonial Revival
4771,Where is Barnet Gate Wood located?,https://en.wikipedia.org/wiki/Barnet_Gate_Wood,https://en.wikipedia.org/wiki/Barnet_Gate,"Barnet Gate, Barnet, London"
4772,"What is the name of the MLB team based in Boston, Massachusetts?",https://en.wikipedia.org/wiki/Boston_Red_Sox,https://en.wikipedia.org/wiki/Sports_in_Boston,Boston Red Sox
4773,When was Araeosoma eurypatum first scientifically described?,https://en.wikipedia.org/wiki/Araeosoma_eurypatum,https://en.wikipedia.org/wiki/Araeosoma_fenestratum,1909
4774,Which medals did he win for serving in the army?,https://en.wikipedia.org/wiki/Military_career_of_Adolf_Hitler,https://en.wikipedia.org/wiki/Douglas_MacArthur,World War I
4775,What was the occupation of Henrik Kauffmann?,https://en.wikipedia.org/wiki/Henrik_Kauffmann,https://en.wikipedia.org/wiki/Greenland_in_World_War_II,ambassador
4776,What is the population of Lynwood in 2010?,"https://en.wikipedia.org/wiki/Lynwood,_California","https://en.wikipedia.org/wiki/Lynwood,_Illinois","69,772"
4777,What type of morphisms are stable under composition?,https://en.wikipedia.org/wiki/Quasi-compact_morphism,https://en.wikipedia.org/wiki/Smooth_morphism,quasi-compact
4778,What tour buses are offered as a tourist attraction in Miami?,https://en.wikipedia.org/wiki/Duck_tour,https://en.wikipedia.org/wiki/Big_Bus_Tours,empty
4779,What is the economy of Ganleu based on?,https://en.wikipedia.org/wiki/Great_Depression,https://en.wikipedia.org/wiki/Institute_of_Economic_Studies,empty
4780,The cemetery is notable for its what?,"https://en.wikipedia.org/wiki/Glenwood_Cemetery_(Washington,_D.C.)","https://en.wikipedia.org/wiki/Elmwood_Cemetery_(Memphis,_Tennessee)",monuments and buildings
4781,What was the name of the first miniprinter?,https://en.wikipedia.org/wiki/Epson,https://en.wikipedia.org/wiki/EP-101,EP-101
4782,"Which artist designed the illustrated book, Old Ben?",https://en.wikipedia.org/wiki/Lane_Smith_(illustrator),https://en.wikipedia.org/wiki/Illustration,empty
4783,Who recorded the name Siricae?,https://en.wikipedia.org/wiki/John_Sirica,https://en.wikipedia.org/wiki/Alfredo_Sirica,empty
4784,When were the B4 and D4 introduced?,https://en.wikipedia.org/wiki/Alpina_B4,https://en.wikipedia.org/wiki/Leukotriene,2014
4785,"Who wrote the song ""Back to Black""?",https://en.wikipedia.org/wiki/Back_to_Black_(song),https://en.wikipedia.org/wiki/Back_to_Black,Winehouse's signature songs. Justin Myers
4786,Who was striker Kostas Mitroglou?,https://en.wikipedia.org/wiki/Kostas_Mitroglou,https://en.wikipedia.org/wiki/2013%E2%80%9314_Olympiacos_F.C._season,Greek professional footballer
4787,When was Giovanni Battista Bussi born?,https://en.wikipedia.org/wiki/Giovanni_Battista_Bussi_(1656%E2%80%931726),https://en.wikipedia.org/wiki/Bussi,31 March 1656
4788,What is the plant that is native to Australia known as?,https://en.wikipedia.org/wiki/Flora_of_Australia,https://en.wikipedia.org/wiki/Eucalyptus,endemic
4789,When was the city of Colorado Springs founded?,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado","https://en.wikipedia.org/wiki/History_of_Colorado_Springs,_Colorado",Between 1965 and 1968
4790,Who was a good at landscape painting and muninhwa?,https://en.wikipedia.org/wiki/Gim_Su-cheol,https://en.wikipedia.org/wiki/Gim_Du-ryang,Gim Su-cheol
4791,How long is the single-seat DC-004 electric locomotive longest?,https://en.wikipedia.org/wiki/Diesel_locomotive,https://en.wikipedia.org/wiki/Douglas_DC-6,empty
4792,"What was the name of the group that released the song ""Age of Loneliness""?",https://en.wikipedia.org/wiki/Age_of_Loneliness,https://en.wikipedia.org/wiki/The_Cross_of_Changes,Enigma
4793,"Why is lake whitefish sometimes referred to as a ""humpback""?",https://en.wikipedia.org/wiki/Lake_whitefish,https://en.wikipedia.org/wiki/Humpback_whitefish,small size of the head in relation to the length of the body
4794,What was the name of the other book Gavin Lyall published in?,https://en.wikipedia.org/wiki/Gavin_Lyall,https://en.wikipedia.org/wiki/The_Crocus_List,Crocus List
4795,How many members does NYC Resistor have?,https://en.wikipedia.org/wiki/NYC_Resistor,https://en.wikipedia.org/wiki/File:NYCResistor-Hackerspace-397bridge.jpg,25
4796,Who wrote the screenplay for the movie?,https://en.wikipedia.org/wiki/Nicholas_Pileggi,https://en.wikipedia.org/wiki/The_Godfather,Pileggi
4797,What is one of the WSOP tournaments?,https://en.wikipedia.org/wiki/Big_One_for_One_Drop,https://en.wikipedia.org/wiki/List_of_World_Series_of_Poker_Main_Event_champions,The Big One for One Drop
4798,What concept is as fundamental as the concept of the hyperbolic norm?,https://en.wikipedia.org/wiki/Hyperbolic_geometry,https://en.wikipedia.org/wiki/Minkowski_space,"Minkowski metric, the Minkowski norm squared"
4799,When was the concept of bounded sets introduced?,https://en.wikipedia.org/wiki/Bounded_set,https://en.wikipedia.org/wiki/Bounded_set_(topological_vector_space),1935
4800,What is the name of the species that grows in the streams of the Fauna Sanitat?,https://en.wikipedia.org/wiki/Sundarbans,https://en.wikipedia.org/wiki/Antimicrobial_resistance,empty
4801,"Who wrote the episode ""Of Late I Think of Rosewood""?",https://en.wikipedia.org/wiki/Of_Late_I_Think_of_Rosewood,"https://en.wikipedia.org/wiki/Game_Over,_Charles",Joseph Dougherty
4802,What is the name of Minneapolis's first public football stadium?,https://en.wikipedia.org/wiki/Parade_Stadium,https://en.wikipedia.org/wiki/Huntington_Bank_Stadium,Parade Stadium
4803,"What is the largest  credit union headquartered in Riverside County, California?",https://en.wikipedia.org/wiki/Altura_Credit_Union,https://en.wikipedia.org/wiki/California_Coast_Credit_Union,Altura Credit Union
4804,What photographer whos examples of Borden's work are held in the collections of the National Portrait Gallery is based in London?,https://en.wikipedia.org/wiki/Aubrey_Beardsley,https://en.wikipedia.org/wiki/Group_of_Seven_(artists),H.S. Nicols
4805,When does the Voyah i-Land premiere?,https://en.wikipedia.org/wiki/Italdesign_Giugiaro,https://en.wikipedia.org/wiki/Aeolus_(marque),empty
