id,question,answer,link_1,link_2,predict_answer
596,What does the Bamberg-Scheßlitz line refer to?,the Schääzer Bockerla,https://en.wikipedia.org/wiki/Bamberg%E2%80%93Sche%C3%9Flitz_railway,https://en.wikipedia.org/wiki/Template:Nuremberg%E2%80%93Bamberg_railway,Scheßlitz
597,Where is the station of Edolo located?,on the Brescia-Iseo-Edolo railway,https://en.wikipedia.org/wiki/Edolo_railway_station,https://en.wikipedia.org/wiki/Edolo_Pumped_Storage_Plant,Brescia-Iseo-Edolo railway
598,What is the name of the private airport in Frazier Lake?,Frazier Lake Airpark,https://en.wikipedia.org/wiki/Frazier_Lake_Airpark,https://en.wikipedia.org/wiki/List_of_airports_in_California,Lake Airpark
599,When was the Roman Catholic Diocese of Palmares created?,1830,https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Palmares,https://en.wikipedia.org/wiki/Category:Christian_organizations_established_in_1962,1962
600,How many inhabitants were there in Termunten in 2001?,201,https://en.wikipedia.org/wiki/Termunten,https://en.wikipedia.org/wiki/Termunterzijl,201
601,Which Basketball club did Tamás Mocsai play for?,MKB Veszprém KC,https://en.wikipedia.org/wiki/Category:Low-importance_Hungary_articles?from=Mj,https://en.wikipedia.org/wiki/Hungary_men%27s_national_handball_team,Árpá
602,Who starred in the film Due to the Crime of Two Happy Hearts?,Vittorio De Sica,https://en.wikipedia.org/wiki/Kind_Hearts_and_Coronets,https://en.wikipedia.org/wiki/Wild_at_Heart_(film),Dennis Price Joan Greenwood
603,What is the population of the metropolitan area of Buheer?,4347955,https://en.wikipedia.org/wiki/Kind_Hearts_and_Coronets,https://en.wikipedia.org/wiki/Wild_at_Heart_(film),empty
604,Where is the Leixlip to Maynooth station located?,on the Dublin to Maynooth commuter route,https://en.wikipedia.org/wiki/Leixlip_Louisa_Bridge_railway_station,https://en.wikipedia.org/wiki/Leixlip_Confey_railway_station,"directly over the platforms, on a bridge"
605,"Who directed the film ""Buffalo Bill and the Indians, or Sitting Bull's History Lesson""?",Robert Altman,"https://en.wikipedia.org/wiki/Buffalo_Bill_and_the_Indians,_or_Sitting_Bull%27s_History_Lesson",https://en.wikipedia.org/wiki/Indians_(play),Robert Altman
606,What is the Burial Ground for the Market town of Baldock?,Baldock Cemetery,https://en.wikipedia.org/wiki/Baldock_Cemetery,https://en.wikipedia.org/wiki/Baldock,Baldock Cemetery
607,What was the name of the ship that she was deployed in the South Atlantic?,HMS Dumbarton Castle,https://en.wikipedia.org/wiki/HMS_Illustrious_(R06),https://en.wikipedia.org/wiki/German_cruiser_Admiral_Graf_Spee,Illustrious
608,How many Emmy awards did Lionel Jefferson win?,21,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_The_Jeffersons,https://en.wikipedia.org/wiki/The_Jeffersons,1.2
609,What is the name of the protected nature reserve in the Northern Rivers region of New South Wales?,Broken Head Nature Reserve,https://en.wikipedia.org/wiki/Andrew_Johnston_Big_Scrub_Nature_Reserve,https://en.wikipedia.org/wiki/Brunswick_Heads_Nature_Reserve,The Andrew Johnston Big Scrub Nature Reserve
610,What was the name of the first professional orchestra in Ottawa?,the Ottawa Symphony Orchestra,https://en.wikipedia.org/wiki/Ottawa_Symphony_Orchestra,https://en.wikipedia.org/wiki/Donald_Heins,Ottawa Symphony Orchestra
611,Who built the mansion under the name of Maybrook?,Henry C. Gibson,https://en.wikipedia.org/wiki/Maybrook_Mansion,https://en.wikipedia.org/wiki/G._W._%26_W._D._Hewitt,Henry C. Gibson
612,How many students attend Douglas College?,17000,https://en.wikipedia.org/wiki/Maybrook_Mansion,https://en.wikipedia.org/wiki/G._W._%26_W._D._Hewitt,60
613,What was the bilateral air transport agreement between the UK and the US called?,Bermuda II,https://en.wikipedia.org/wiki/Maybrook_Mansion,https://en.wikipedia.org/wiki/G._W._%26_W._D._Hewitt,empty
614,What country is the limbed lepidella found in?,Algeria,https://en.wikipedia.org/wiki/Amanita_gilbertii,https://en.wikipedia.org/wiki/Quercus_suber,France
615,When did the AFA combine with the LAF?,1934,https://en.wikipedia.org/wiki/Liga_Argentina_de_Football,https://en.wikipedia.org/wiki/1934_Argentine_Primera_Divisi%C3%B3n,1934
616,What is the food of the larvae of the suckworm?,leaves,https://en.wikipedia.org/wiki/Liga_Argentina_de_Football,https://en.wikipedia.org/wiki/1934_Argentine_Primera_Divisi%C3%B3n,empty
617,Who has a new album called Yamaha?,Todd Alsup,https://en.wikipedia.org/wiki/Hatsune_Miku,https://en.wikipedia.org/wiki/Vocaloid,Yamaha Corporation
618,What is the fifth ship to bear the name of the American Samoa?,Walnut,https://en.wikipedia.org/wiki/USCGC_Walnut_(WLB-205),https://en.wikipedia.org/wiki/USS_Ticonderoga_(CV-14),Walnut
619,"How many colonies did the list of the governors of colonies, protectorates, or other dependencies contain?",1735,https://en.wikipedia.org/wiki/Crown_colony,https://en.wikipedia.org/wiki/British_Overseas_Territories,two
620,Who won the 1999 Japanese motorcycle Grand Prix?,Marcel Fässler,https://en.wikipedia.org/wiki/1999_Japanese_motorcycle_Grand_Prix,https://en.wikipedia.org/wiki/1999_Grand_Prix_motorcycle_racing_season,"Kenny Roberts, Jr."
621,What is the name of the town located in the northern part of Australia?,Rhyll,https://en.wikipedia.org/wiki/Northern_Territory,https://en.wikipedia.org/wiki/Canberra,Canberra
622,Who was a member of the British Board of Ordnance?,The Lieutenant-General of the Ordnance,https://en.wikipedia.org/wiki/Board_of_Ordnance,https://en.wikipedia.org/wiki/Lieutenant-General_of_the_Ordnance,British government
623,What is an example of a public gathering place?,Stonehenge,https://en.wikipedia.org/wiki/Gathering_place,https://en.wikipedia.org/wiki/Public_space,"city streets, town squares, and parks"
624,In what medium can morphophane be obtained from?,hot water,https://en.wikipedia.org/wiki/Musique_concr%C3%A8te,https://en.wikipedia.org/wiki/Morphophonology,microphonic recording
625,What is the name of the fifth album Christian musician band Newsboys released in 1994?,Going Public,https://en.wikipedia.org/wiki/Going_Public_(Newsboys_album),https://en.wikipedia.org/wiki/Newsboys,Going Public
626,How many cardinals did Pope Paul VI create in his papacy?,6,https://en.wikipedia.org/wiki/Pope_Paul_VI,https://en.wikipedia.org/wiki/Pope_John_Paul_I,182
627,What is the name of the German company that manufactures a wide range of percussion instruments?,Sonor,https://en.wikipedia.org/wiki/Meinl_Percussion,https://en.wikipedia.org/wiki/Sonor,Meinl Percussion
628,When did NJPW purchase the programming rights to the WWE?,2013,https://en.wikipedia.org/wiki/New_Japan_Pro-Wrestling,https://en.wikipedia.org/wiki/National_Wrestling_Alliance,October 2020
629,What parliamentary position does Debbie Anne Ngarewa-Packer hold?,Member of Parliament,https://en.wikipedia.org/wiki/Debbie_Ngarewa-Packer,https://en.wikipedia.org/wiki/2020_New_Zealand_general_election,MPMember of the New Zealand Parliament
630,What is the inflammation of the hair follicle caused by?,Folliculitis decalvans,https://en.wikipedia.org/wiki/Folliculitis,https://en.wikipedia.org/wiki/Pseudofolliculitis_barbae,Folliculitis
631,What is the name of the train that runs between Alappuzha and Kannur?,The Alappuzha - Kannur Executive Express,https://en.wikipedia.org/wiki/Alappuzha%E2%80%93Kannur_Express,https://en.wikipedia.org/wiki/Kannur%E2%80%93Thiruvananthapuram_Jan_Shatabdi_Express,16307
632,"What was the name of the fort that was built at Camden, Arkansas?",Fort Southerland,"https://en.wikipedia.org/wiki/Camden,_Arkansas",https://en.wikipedia.org/wiki/Fort_Lookout_(Arkansas),Fort Smith
633,What is the name of the short two-lane highway in Indianapolis?,State Road 154,https://en.wikipedia.org/wiki/U.S._Route_35,https://en.wikipedia.org/wiki/U.S._Route_24_in_Indiana,US 24
634,What is the name of the last gasworks building in Birmingham?,The Gas Retort House,https://en.wikipedia.org/wiki/Gas_Retort_House,https://en.wikipedia.org/wiki/Birmingham_Blitz,"The Gas Retort House, Gas Street, Birmingham The Gas Retort House"
635,How many people live in the former canton of Strasbourg-Altenrhein?,4414,https://en.wikipedia.org/wiki/EuroAirport_Basel_Mulhouse_Freiburg,-,1
636,What is Shenipsit Lake called locally?,The Snip,https://en.wikipedia.org/wiki/Shenipsit_Lake,https://en.wikipedia.org/wiki/Shenipsit_Trail,Snip
637,Who was the Romanian team's manager at the time?,Zugrăvescu,https://en.wikipedia.org/wiki/Romania_national_football_team,https://en.wikipedia.org/wiki/Mircea_Lucescu,Mircea Lucescu Lucescu
638,When was the city founded?,1815,https://en.wikipedia.org/wiki/History_of_the_city,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri",1830s
639,When was the album released? ,1998,https://en.wikipedia.org/wiki/The_Album_(Blackpink_album),https://en.wikipedia.org/wiki/List_of_2020_albums,2020
640,How far is the village of Kondapura from the sub-district of Gauribidanur?,13 km,"https://en.wikipedia.org/wiki/Kondapura,_Gauribidanur","https://en.wikipedia.org/wiki/Gedare,_Gauribidanur",13 km
641,"Who was ordered to put down the villages of Kas-Aziz-Khan, Charbagh, Bala Bagh and Sabzabad?",the Red Army,https://en.wikipedia.org/wiki/Soviet_war_crimes,-,Soviet forces
642,What is the population of Lancaster in 2010?,59322,"https://en.wikipedia.org/wiki/Lancaster,_Pennsylvania","https://en.wikipedia.org/wiki/Lancaster,_Ohio","59,322"
643,What was the name of the short-lived shipbuilding college at portsmouth dockyard?,The Central School of Mathematics and Naval Construction,https://en.wikipedia.org/wiki/School_of_Mathematics_and_Naval_Construction,https://en.wikipedia.org/wiki/Royal_Navy_Dockyard,The Central School of Mathematics and Naval Construction
644,Who is an Indian politician and former Member of the Legislative Assembly of Tamil Nadu?,Venkataswamy,https://en.wikipedia.org/wiki/M._Karunanidhi,https://en.wikipedia.org/wiki/M._G._Ramachandran,Karunanidhi
645,What position did Jim Sandoval hold with the Society for American Baseball Research?,chairman,https://en.wikipedia.org/wiki/Winter_Meetings,https://en.wikipedia.org/wiki/Tris_Speaker,scouts
646,What is the purpose of the Cost-utility analysis?,guide procurement decisions,https://en.wikipedia.org/wiki/Cost%E2%80%93utility_analysis,https://en.wikipedia.org/wiki/Cost%E2%80%93benefit_analysis,to guide procurement decisions
647,An Ortman key is made of what?,elongated rectangular metal bar stock,https://en.wikipedia.org/wiki/Ortman_key,https://en.wikipedia.org/wiki/Edmund_key,elongated rectangular metal bar stock
648,Who won the men's gymnastics competition at the 2004 Summer Olympics?,Dimosthenis Tampakos of Greece,https://en.wikipedia.org/wiki/Gymnastics_at_the_2004_Summer_Olympics,https://en.wikipedia.org/wiki/Gymnastics_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_vault,rhythmic
649,Who is the main character in the Adventurer's Guide to Eberron?,Madeleine Swann,https://en.wikipedia.org/wiki/An_Adventurer%27s_Guide_to_Eberron,https://en.wikipedia.org/wiki/Eberron:_Rising_from_the_Last_War,An Adventurer
650,When was the CLR-4 activated?,"September 8, 2013",https://en.wikipedia.org/wiki/Combat_Logistics_Regiment_4,https://en.wikipedia.org/wiki/4th_Marine_Logistics_Group,"September 8, 2013"
651,What does Elizabeth Ogbaga represent?,Ebonyi/Ohaukwu federal constituency,https://en.wikipedia.org/wiki/Elizabeth_Ogbaga,https://en.wikipedia.org/wiki/Uche_Ekwunife,Ebonyi Ohaukwu federal constituency
652,What was the name given to the prediction of the Higgs particle?,the Higgs boson,https://en.wikipedia.org/wiki/Higgs_boson,https://en.wikipedia.org/wiki/Standard_Model,the Higgs mechanism
653,What did Stalin believe was the architecture of capitalism?,modernism,https://en.wikipedia.org/wiki/Stalinism,https://en.wikipedia.org/wiki/Ideology_of_the_Communist_Party_of_the_Soviet_Union,Stalinist architecture
654,How many suburbs are in the city of Buenos Aires?,16,https://en.wikipedia.org/wiki/Neighbourhoods_of_Buenos_Aires,https://en.wikipedia.org/wiki/Buenos_Aires,a hundred
655,What is the common name of Salicornia subterminalis species of plant?,Parish's glasswort,https://en.wikipedia.org/wiki/Arthrocnemum_subterminale,https://en.wikipedia.org/wiki/List_of_flora_of_the_Sonoran_Desert_Region_by_common_name,Arthrocnemum subterminale
656,When was the list of National Register properties created?,"March 5, 2021",https://en.wikipedia.org/wiki/National_Register_of_Historic_Places,https://en.wikipedia.org/wiki/History_of_the_National_Register_of_Historic_Places,12 Properties listed edit See also United States National Register of Historic Places listings and List of U.S. National Historic Landmarks by state A typical plaque found on properties listed in the National Register of Historic Places
657,When was Robert John Burke born?,"September 12, 1960",https://en.wikipedia.org/wiki/Robert_John_Burke,https://en.wikipedia.org/wiki/Robert_Burke,"September 12, 1960"
658,What is Roomie or Lil Pitchy best known for?,YouTube channel,https://en.wikipedia.org/wiki/Joel_Berghult,https://en.wikipedia.org/wiki/Pitch_Perfect,music comedy
659,Where did the Huskies play their home games?,Hugh S. Greer Field House,https://en.wikipedia.org/wiki/Husky_Stadium,https://en.wikipedia.org/wiki/Washington_Huskies_softball,It is located on the campus of the University of Washington
660,What nationality is Barbara Becker?,German,https://en.wikipedia.org/wiki/Barbara_Becker,https://en.wikipedia.org/wiki/Boris_Becker,German-American
661,What club did Percy Holroyd play for?,Huddersfield,https://en.wikipedia.org/wiki/Percy_Holroyd,https://en.wikipedia.org/wiki/1909%E2%80%9310_Yorkshire_Cup,Huddersfield
662,Where did the 1987 Player's International Canadian Open take place?,"Montreal, Quebec",https://en.wikipedia.org/wiki/1987_Player%27s_Canadian_Open,https://en.wikipedia.org/wiki/1986_Player%27s_Canadian_Open,"outdoorLocationMontreal, Quebec, Canada"
663,What is the name of the language that Wales have been mostly influenced by?,Welsh,https://en.wikipedia.org/wiki/Old_English,https://en.wikipedia.org/wiki/Welsh_toponymy,Welsh
664,"When was Warhammer 40,000: Dawn of War III released?","April 27, 2017","https://en.wikipedia.org/wiki/Warhammer_40,000:_Dawn_of_War_III","https://en.wikipedia.org/wiki/Warhammer_40,000:_Dawn_of_War_II",2017
665,Where is Fidelity located?,"Jasper County, Missouri",https://en.wikipedia.org/wiki/Fidelity_Investments,"https://en.wikipedia.org/wiki/Fidelity,_Illinois","Boston, Massachusetts"
666,Who created the language factor?,Slava Pestov,https://en.wikipedia.org/wiki/Factor_(programming_language),https://en.wikipedia.org/wiki/HEXACO_model_of_personality_structure,PestovFirst
667,How many people were at the ZIP Code point in 2010?,5532,"https://en.wikipedia.org/wiki/Bayview%E2%80%93Hunters_Point,_San_Francisco","https://en.wikipedia.org/wiki/Point_Roberts,_Washington",32
668,What is the color of nitrosyl bromide?,red,https://en.wikipedia.org/wiki/Nitrosyl_bromide,https://en.wikipedia.org/wiki/Nitrosyl_chloride,Y
669,When was the album Despedazado por Mil Partes released?,1996,https://en.wikipedia.org/wiki/La_Renga,https://en.wikipedia.org/wiki/Despedazado_por_Mil_Partes,1996
670,What is the threat to the Boophis species that is found in Madagascar?,habitat loss,https://en.wikipedia.org/wiki/Boophis_goudotii,https://en.wikipedia.org/wiki/Boophis_fayi,Records elsewhere are uncertain and many of them represent misidentifications
671,What is the population of the village in 2010?,5646,"https://en.wikipedia.org/wiki/The_Villages,_Florida","https://en.wikipedia.org/wiki/The_Village,_Oklahoma","Total8,929"
672,Where was the 515th Air Defense Group stationed?,"Duluth Municipal Airport, Minnesota",https://en.wikipedia.org/wiki/515th_Air_Defense_Group,https://en.wikipedia.org/wiki/515th_Air_Mobility_Operations_Wing,"Duluth Municipal Airport, Minnesota"
673,Which golf player ranked ninth in the 1875 Open Championship?,Morrison,https://en.wikipedia.org/wiki/Young_Tom_Morris,https://en.wikipedia.org/wiki/The_Open_Championship,Young Tom Morris
674,What is the name of the liberal website that highlighted the extremist activities of the right-wing extremist groups?,Mother Jones,https://en.wikipedia.org/wiki/Proud_Boys,https://en.wikipedia.org/wiki/Alt-right,Facebook
675,Which team won the 2011 Copa Sudamericana de Clubes?,Universidad de Chile,https://en.wikipedia.org/wiki/2011_Copa_Sudamericana_Finals,https://en.wikipedia.org/wiki/2011_Copa_Libertadores_Finals,LDU Quito Universidad de Chile
676,What was the name of the strong tropical cyclone that affected southwestern Mexico in late September 2011?,Hurricane Hilary,https://en.wikipedia.org/wiki/Hurricane_Hilary_(2011),https://en.wikipedia.org/wiki/2011_Atlantic_hurricane_season,Hurricane Hilary
677,What are the only invertebrates to have evolved flight?,The squaretails,https://en.wikipedia.org/wiki/Insect_flight,https://en.wikipedia.org/wiki/Insect,Insects
678,What is the name of the first cup of Kazakhstan's football competition?,Kazakhstan Cup,https://en.wikipedia.org/wiki/Kazakhstan_national_football_team,https://en.wikipedia.org/wiki/Kazakhstan_Premier_League,Kazakhstan Cup Super Cup
679,What was the profession of Paul A. McNally?,astronomer,https://en.wikipedia.org/wiki/Lizzie_Halliday,https://en.wikipedia.org/wiki/Paul_Benedict,nurse
680,What is the name of the railway that connects Schiphol Airport to Rudolstadt?,Nordwand Railway,https://en.wikipedia.org/wiki/Transport_in_Germany,https://en.wikipedia.org/wiki/Leipzig/Halle_Airport,empty
681,"How many times French champion, Michel Lombardet, fought a boxer named Hippolyte Annex?",4,https://en.wikipedia.org/wiki/Hippolyte_Annex,-,14
682,When was Several Arrows Later released?,2005,https://en.wikipedia.org/wiki/Several_Arrows_Later,https://en.wikipedia.org/wiki/Matt_Pond_PA,2005
683,What is the scientific name for the Hemerotrecha?,Eremobates,https://en.wikipedia.org/wiki/Hemerotrecha,https://en.wikipedia.org/wiki/Hemerotrecha_sevilleta,windscorpions
684,Who designed the Monument to Moret?,Agustín Querol,https://en.wikipedia.org/wiki/Monument_to_Moret_(C%C3%A1diz),https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Moret,Agustín Querol
685,Who was hired as head coach of the 1920 Cornell Big Red football team?,Sam Houston,https://en.wikipedia.org/wiki/1920_Cornell_Big_Red_football_team,https://en.wikipedia.org/wiki/1924_Cornell_Big_Red_football_team,Gil Dobie
686,Why was the X Corps created in 1916?,to provide mobilization of reserves from the western front,https://en.wikipedia.org/wiki/X_Corps_(Ottoman_Empire),https://en.wikipedia.org/wiki/X_Corps_(United_Kingdom),empty
687,Where does the Horoiata discharge into?,the Bârlad near Gara Banca,https://en.wikipedia.org/wiki/Horoiata,https://en.wikipedia.org/wiki/Wikipedia_talk:WikiProject_Rivers/Archive_3,Bârlad
688,What year did Pembroke Finlayson die?,1912,https://en.wikipedia.org/wiki/Pembroke_Finlayson,https://en.wikipedia.org/wiki/File:Pembroke%2BFInlayson%2Bphoto.jpg,1912
689,When was Claudio Borghese born?,1498,https://en.wikipedia.org/wiki/Claudio_Borghese,https://en.wikipedia.org/wiki/Claudio_Magris,22 August 1576
690,Who is the executive producer of The Young and the Restless?,Jill Farren Phelps,https://en.wikipedia.org/wiki/The_Young_and_the_Restless,https://en.wikipedia.org/wiki/Mal_Young,H. Wesley Kenney
691,How many goals has Toto scored in 25 years?,25,https://en.wikipedia.org/wiki/Antonio_Di_Natale,https://en.wikipedia.org/wiki/Filippo_Inzaghi,12
692,How many battle honours have been awarded to the 2nd Marine Infantry Regiment?,16,https://en.wikipedia.org/wiki/2nd_Marine_Division,https://en.wikipedia.org/wiki/2nd_Marine_Infantry_Regiment,2
693,What is the name of the state that became a part of Mexico in 1822?,Tamaulipas,https://en.wikipedia.org/wiki/Mexican_Texas,https://en.wikipedia.org/wiki/History_of_Arizona,Veracruz
694,The Danish Carbon Fund's (DCF)  Lahore Composting Facility project is the first of its kind in what country?,Pakistan,https://en.wikipedia.org/wiki/Lahore_Composting_Facility,-,Pakistan
695,How many events were performed in the 1924 Summer Olympics?,108,https://en.wikipedia.org/wiki/1924_Summer_Olympics,https://en.wikipedia.org/wiki/Athletics_at_the_1924_Summer_Olympics,126
696,What was the name of the ship that was a light constructed in North Carolina?,the Wade Point Light,https://en.wikipedia.org/wiki/USS_North_Carolina_(BB-55),https://en.wikipedia.org/wiki/North_Carolina-class_battleship,USS North Carolina
697,Where is Saint-Marcel-Paulel located?,the eastern coast of the Iberian Peninsula,https://en.wikipedia.org/wiki/Saint-Marcel-Paulel,https://en.wikipedia.org/wiki/Saint-Marcel,"Occitanie, France"
698,What was the name of the book she wrote?,Belle Prater's Boy,https://en.wikipedia.org/wiki/She_Wrote_the_Book,"https://en.wikipedia.org/wiki/List_of_Murder,_She_Wrote_novels",She Wrote the Book
699,Who devised the concept of the Radon transform?,Johann Radon,https://en.wikipedia.org/wiki/Radon_transform,https://en.wikipedia.org/wiki/History_of_computed_tomography,William H. Oldendorf
700,what was the name of the Faroese label that founded in 1977?,TUTL Records,https://en.wikipedia.org/wiki/Tutl,https://en.wikipedia.org/wiki/Teitur_Lassen,TUTL Records
701,The India Institute of Technology is one of the leading what institute?,Indian IT institutions,https://en.wikipedia.org/wiki/Indian_Institutes_of_Technology,https://en.wikipedia.org/wiki/IIT_Bombay,"Higher Technical Institutions for post-war industrial development in India. The 22-member committee, headed by Nalini Ranjan Sarkar, recommended the establishment of these institutions in various parts of India, along the lines of the Massachusetts Institute of Technology"
702,In what city does Sigrid Holmwood live?,London,https://en.wikipedia.org/wiki/Sigrid_Holmwood,https://en.wikipedia.org/wiki/Talk%3ARosy_Wilde,Hobart
703,What is the important notion for a set of routers that engage in dynamic routing?,Convergence,https://en.wikipedia.org/wiki/Convergence_(routing),https://en.wikipedia.org/wiki/Routing,convergence
704,What was the ninth Lieutenant Governor of Alabama?,Miller,https://en.wikipedia.org/wiki/Nathan_Lee_Miller,https://en.wikipedia.org/wiki/List_of_governors_of_Alabama,Nathan Lee Miller
705,What is the name of the species that grows in Europe?,Festuca armoricana,https://en.wikipedia.org/wiki/Picea_abies,https://en.wikipedia.org/wiki/Blueberry,Norway spruce
706,What is another name for Freak Nasty?,Eriq Timmons,https://en.wikipedia.org/wiki/Freak_Nasty,https://en.wikipedia.org/wiki/Freq_Nasty,Freq Nasty. Freak NastyBackground informationBirth nameCarlito Timmons
707,What county is Tamworth in?,"Carroll County, New Hampshire","https://en.wikipedia.org/wiki/Tamworth,_Staffordshire","https://en.wikipedia.org/wiki/Tamworth,_New_Hampshire",Warwickshire
708,What is the mechanically interlocked molecular architecture consisting of two or more interlocked macrocycles called?,Catenane,https://en.wikipedia.org/wiki/Catenane,https://en.wikipedia.org/wiki/Mechanically_interlocked_molecular_architectures,cyclobis
709,What is the name of the current host of Un œil sur la planète?,Samah Soula,https://en.wikipedia.org/wiki/%C3%89tienne_Leenhardt,https://en.wikipedia.org/wiki/France_5,Étienne
710,What was the name of the successful song that failed to qualify for the Eurovision Song Contest?,No Dream Impossible,https://en.wikipedia.org/wiki/Poland_in_the_Eurovision_Song_Contest,https://en.wikipedia.org/wiki/Israel_in_the_Eurovision_Song_Contest,Dana International Hebrew Diva
711,"How many people left Orange, to go through the 2010 census?","1,339, 923","https://en.wikipedia.org/wiki/Orange_County,_California",https://en.wikipedia.org/wiki/Vietnamese_Americans,"3,010,232, 4"
712,What was Finland's first athlete?,Viljo Nousiainen,https://en.wikipedia.org/wiki/Paavo_Nurmi,https://en.wikipedia.org/wiki/Finland_at_the_Olympics,Liimatainen
713,What is the stolonifera tree species in?,Iris,https://en.wikipedia.org/wiki/Agrostis_stolonifera,https://en.wikipedia.org/wiki/Butia_stolonifera,Family Poaceae
714,How tall is the Salloomt Peak?,6145 feet,https://en.wikipedia.org/wiki/Salloomt_Peak,https://en.wikipedia.org/wiki/Category:Kitimat_Ranges,"1,873 metres (6,145 ft)"
715,What language does OpenClassrooms offer courses in?,"English, French and Spanish",https://en.wikipedia.org/wiki/OpenClassrooms,https://en.wikipedia.org/wiki/List_of_MOOC_providers,English
716,What was the name of Destiny's Child's late father?,Fritz,https://en.wikipedia.org/wiki/Destiny%27s_Child,https://en.wikipedia.org/wiki/Kelly_Rowland,David Guetta
717,For what crime was McAteer convicted in 2001?,1999 murder of a gangland associate,https://en.wikipedia.org/wiki/Ian_McAteer,https://en.wikipedia.org/wiki/Gangs_in_Liverpool,"Murder, illegal drug trade, perverting the course of justice"
718,Who hosted the 1997 FIBA Africa Championship for Women?,Kenya,https://en.wikipedia.org/wiki/1997_FIBA_Africa_Championship_for_Women,https://en.wikipedia.org/wiki/FIBA_Africa_Championship_1997,Senegal
719,Who was the Tibetan leader in the 1970s?,Mao Zedong,https://en.wikipedia.org/wiki/Tibetan_independence_movement,https://en.wikipedia.org/wiki/History_of_Tibet_(1950%E2%80%93present),14th Dalai Lama
720,What was the name of the second LP by Max Romeo?,Let the Power Fall,https://en.wikipedia.org/wiki/Max_Romeo,https://en.wikipedia.org/wiki/Chase_the_Devil,Let the Power Fall
721,When was 'Tears Go By' released?,1988,https://en.wikipedia.org/wiki/As_Tears_Go_By_(song),https://en.wikipedia.org/wiki/As_Tears_Go_By_(film),"January 20, 2009"
722,The history of the oil tanker is part of the evolution of what?,the technology of oil transportation,https://en.wikipedia.org/wiki/History_of_the_oil_tanker,https://en.wikipedia.org/wiki/Oil_tanker,the technology of oil transportation
723,What is the production of light by living organisms called?,Bioluminescence,https://en.wikipedia.org/wiki/Bioluminescence,https://en.wikipedia.org/wiki/Primary_production,Luminous Creatures
724,What is the largest genus of evergreens?,Mimetes,https://en.wikipedia.org/wiki/Evergreen,https://en.wikipedia.org/wiki/Asimina,Rhododendron
725,Who won the Intercontinental Championship?,Madonna,https://en.wikipedia.org/wiki/WWE_Intercontinental_Championship,https://en.wikipedia.org/wiki/List_of_WWE_Intercontinental_Champions,Apollo Crews
726,What was the name of the railroad equipment manufacturing company founded by Andrew Carnegie and T.N. Miller in 1865?,Pittsburgh Locomotive and Car Works,https://en.wikipedia.org/wiki/Pittsburgh_Locomotive_and_Car_Works,https://en.wikipedia.org/wiki/U.S._Steel,"Pittsburgh Locomotive and Car WorksIndustryRail transportFoundedby Andrew Carnegie and T.N. Miller in 1865Defunct1901 (Original facility)1919 (ALCO facility)FateMergedSuccessorAmerican Locomotive CompanyHeadquartersAllegheny, PennsylvaniaProductsSteam locomotives and Automobiles The Pittsburgh Locomotive and Car Works"
727,What is the tributary of the Pibor River?,The Agwei River,https://en.wikipedia.org/wiki/Pibor_River,https://en.wikipedia.org/wiki/Baro_River,"Sobat River, which is a tributary of the White Nile"
728,Who created BoJack Horseman?,Raphael Bob-Waksberg,https://en.wikipedia.org/wiki/BoJack_Horseman,https://en.wikipedia.org/wiki/Raphael_Bob-Waksberg,Bob-Waksberg
729,"In fluid mechanics, what is the flow direction of a fluid?",up to 90 degrees slope direction,https://en.wikipedia.org/wiki/Lift_(force),https://en.wikipedia.org/wiki/Drag_(physics),perpendicular direction
730,What kind of sport requires a high-performance paraglider?,Speed-flying,https://en.wikipedia.org/wiki/Paragliding,https://en.wikipedia.org/wiki/Glider_(sailplane),empty
731,How many victories did Captain James Dacres have?,18,https://en.wikipedia.org/wiki/USS_Constitution_vs_HMS_Guerriere,https://en.wikipedia.org/wiki/James_Belgrave,confident of victory
732,How many seeded teams played in the 2015 Shimadzu All Japan Indoor Tennis Championships?,8,https://en.wikipedia.org/wiki/John_Millman,https://en.wikipedia.org/wiki/Matthew_Ebden,"35,000"
733,How many games played for the Czechoslovakia national football team?,10,https://en.wikipedia.org/wiki/Czechoslovakia_national_football_team,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,eight
734,How long do the taluk's elected representatives have?,only one year,https://en.wikipedia.org/wiki/Electoral_district,https://en.wikipedia.org/wiki/Government_of_Karnataka,empty
735,How large is the population of Oudsbergen?,23000,https://en.wikipedia.org/wiki/Oudsbergen,https://en.wikipedia.org/wiki/Opglabbeek,"Municipality in Flemish Community, Belgium"
736,What is the most important crop in the ADME?,barley,https://en.wikipedia.org/wiki/Dietary_fiber,https://en.wikipedia.org/wiki/Aflatoxin_B1,empty
